com.google.firebase,Firebase Messaging
commons-io,Apache Commons IO
org.scala-lang,Scala Library
org.jsoup,Jsoup Java HTML Parser
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
bouncycastle,Legion of The Bouncy Castle Java Cryptography APIs
com.google.guava,Guava: Google Core Libraries For Java
com.koushikdutta.async,AndroidAsync
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
jp.wasabeef,RecyclerView Animators
com.google.guava,Guava: Google Core Libraries For Java
com.google.guava,Guava: Google Core Libraries For Java
org.slf4j,SLF4J API Module
com.urbanairship.android,UrbanAirship SDK
org.slf4j,SLF4J API Module
com.github.hotchemi,PermissionsDispatcher
commons-io,Apache Commons IO
com.google.zxing,ZXing Core
org.greenrobot,EventBus
org.scala-lang,Scala Library
com.jcraft,JSch
com.qaprosoft,HockeyApp Utility
com.google.guava,Guava: Google Core Libraries For Java
com.squareup.moshi,Moshi
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.atlassian.plugins,Atlassian Plugins Core
org.scala-lang,Scala Library
clj-http,Clj HTTP
io.segment.analytics.android,Quantcast
se.emilsjolander,StickyListHeaders Library
org.scala-lang,Scala Library
eu.codlab,Android AndEngine Fork
com.fasterxml.jackson.core,Jackson Databind
com.revenuecat.purchases,Purchases Android
com.airbnb.android,Lottie
com.jakewharton.timber,Timber
com.google.code.gson,Gson
com.getkeepsafe.relinker,ReLinker
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.android.support,Android Support VectorDrawable
com.github.rubensousa,GravitySnapHelper
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.rmt.android,Card IO
org.checkerframework,Checker Qual
org.slf4j,SLF4J Simple Binding
com.google.android.gms,Play Services Analytics
org.apache.thrift,Apache Thrift
org.netbeans.api,NetBeans API Visual
org.apache.commons,Apache Commons Lang
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.mapbox.mapboxsdk,Mapbox Maps SDK For Android
me.leolin,ShortcutBadger
ru.yandex.qatools.ashot,Yandex QATools AShot WebDriver Utility
com.coditory.sherlock,Sherlock Common
org.odpi.egeria,Open Connector Framework (OCF)
com.google.guava,Guava: Google Core Libraries For Java
com.google.guava,Guava: Google Core Libraries For Java
com.j256.ormlite,ORMLite Core
com.google.guava,Guava: Google Core Libraries For Java
commons-io,Apache Commons IO
