com.classicshadow.newadventurer_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.classicshadow.newadventurer_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.cleanmasterx.app_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.cleanmasterx.app_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.98: android.hardware.Sensor A01>, 
com.cleanmasterx.app_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r8.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r11.<androidx.appcompat.app.'public': void do(long__double__double)>($l1__ $d0__ $d1), 
com.cleanmasterx.app_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r8.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r11.<androidx.appcompat.app.'public': void do(long__double__double)>($l1__ $d0__ $d1), 
com.cleanmasterx.app_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.98: android.hardware.SensorEventListener A02>, 
com.craftsman.go_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.93: android.hardware.Sensor A01>, 
com.craftsman.go_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.93: android.hardware.SensorEventListener A02>, 
com.craftsman.go_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.craftsman.go_apk, android.hardware.SensorManager getDefaultSensor, $r5 = virtualinvoke $r4.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.applovin, LinkedRValueBox($r5) in r0.<com.applovin.impl.sdk.utils.l: android.hardware.Sensor d> = $r5, 
com.craftsman.go_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.craftsman.go_apk, android.hardware.SensorManager getDefaultSensor, $r6 = virtualinvoke $r5.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.applovin, LinkedRValueBox($r6) in r0.<com.applovin.impl.sdk.utils.h: android.hardware.Sensor c> = $r6, 
com.craftsman.go_apk, advertisingidClient getadvertisingidInfo, $r2 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r0), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.Create.Your.Own.Unicorn.Dr_apk, advertisingidClient getadvertisingidInfo, $r2 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r0), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.Create.Your.Own.Unicorn.Dr_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r1.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.createspore.forlifesimgamez_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.createspore.forlifesimgamez_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.createspore.forlifesimgamez_apk, advertisingidClient getInfo, $r5 = virtualinvoke $r4.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.createspore.forlifesimgamez_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.createspore.forlifesimgamez_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.8r: android.hardware.Sensor A01>, 
com.createspore.forlifesimgamez_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.8r: android.hardware.SensorEventListener A02>, 
com.dancingmono.rollingsky_apk, android.hardware.SensorManager getDefaultSensor, $r0 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r0) in if $r0 != null goto $r4 = <com.facebook.ads.internal.g.a: android.hardware.SensorEventListener h>, 
com.dancingmono.rollingsky_apk, android.hardware.SensorManager getDefaultSensor, $r0 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r0) in if $r0 != null goto $r0 = <com.facebook.ads.internal.g.a: android.hardware.Sensor c>, 
com.dancingskye.rollingsky_apk, android.hardware.SensorManager getDefaultSensor, $r0 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r0) in if $r0 != null goto $r4 = <com.facebook.ads.internal.g.a: android.hardware.SensorEventListener h>, 
com.dancingskye.rollingsky_apk, android.hardware.SensorManager getDefaultSensor, $r0 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r0) in if $r0 != null goto $r0 = <com.facebook.ads.internal.g.a: android.hardware.Sensor c>, 
com.dankoniyainck.airtvitips_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dankoniyainck.airtvitips_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.JE: android.hardware.SensorEventListener A02>, 
com.dankoniyainck.airtvitips_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), com.goodbarber, LinkedRValueBox($d0) in <com.goodbarber.v2.core.data.stats.StatsManager: double mLat> = $d0, 
com.dankoniyainck.airtvitips_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.dankoniyainck.airtvitips_apk, android.location.Location getLatitude, $d2 = virtualinvoke $r3.<android.location.Location: double getLatitude()>(), com.google.android.gms, ImmediateBox($d2) in specialinvoke $r1.<com.google.android.gms.maps.model.LatLng: void <init>(double__double)>($d2__ $d3), 
com.dankoniyainck.airtvitips_apk, email, $r3 = virtualinvoke $r13.<com.goodbarber.v2.core.users.data.GBAppUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in virtualinvoke $r9.<com.goodbarber.v2.core.common.views.AuthorDefaultAvatarView: void setAvatarUI(java.lang.String__java.lang.String)>($r3__ $r15), 
com.dankoniyainck.airtvitips_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.dankoniyainck.airtvitips_apk, email, $r4 = virtualinvoke $r3.<com.goodbarber.v2.core.users.data.GBAppUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r4) in $r7 = staticinvoke <com.goodbarber.v2.core.users.data.GBapiUserCommerceRequestUtils: java.util.Map getHttpParamsForRefreshToken(java.lang.String__java.lang.String)>($r4__ $r6), 
com.dankoniyainck.airtvitips_apk, email, $r3 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in $r25 = interfaceinvoke $r24.<com.goodbarber.v2.core.data.content.IDataManager: android.graphics.Typeface getTypeface(java.lang.String)>($r3), 
com.dankoniyainck.airtvitips_apk, contact, $r7 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getContactRules()>(), com.goodbarber, ImmediateBox($r2) in $z0 = staticinvoke <com.goodbarber.v2.core.common.utils.Utils: boolean isStringValid(java.lang.String)>($r2), 
com.dankoniyainck.airtvitips_apk, email, $r2 = virtualinvoke $r17.<com.goodbarber.v2.core.users.data.GBAppUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r4) in $z0 = staticinvoke <com.goodbarber.v2.core.common.utils.Utils: boolean isStringValid(java.lang.String)>($r4), 
com.dankoniyainck.airtvitips_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dankoniyainck.airtvitips_apk, android.location.Location getLongitude, $d3 = virtualinvoke $r3.<android.location.Location: double getLongitude()>(), com.google.android.gms, ImmediateBox($d3) in specialinvoke $r1.<com.google.android.gms.maps.model.LatLng: void <init>(double__double)>($d2__ $d3), 
com.dankoniyainck.airtvitips_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r6), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dankoniyainck.airtvitips_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.JE: android.hardware.Sensor A01>, 
com.decoration.furniture.newforminecraft_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.decoration.furniture.newforminecraft_apk, android.hardware.SensorManager getDefaultSensor, $r5 = virtualinvoke $r4.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.applovin, LinkedRValueBox($r5) in r0.<com.applovin.impl.sdk.utils.m: android.hardware.Sensor d> = $r5, 
com.decoration.furniture.newforminecraft_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.decoration.furniture.newforminecraft_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.decoration.furniture.newforminecraft_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.Fm: android.hardware.SensorEventListener A02>, 
com.decoration.furniture.newforminecraft_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.decoration.furniture.newforminecraft_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.Fm: android.hardware.Sensor A01>, 
com.Developersoft.spinandwinspinwinner_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.Developersoft.spinandwinspinwinner_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.8v: android.hardware.Sensor A01>, 
com.Developersoft.spinandwinspinwinner_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r0.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.Developersoft.spinandwinspinwinner_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.8v: android.hardware.SensorEventListener A02>, 
com.DogHead.Lotto_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.DogHead.Lotto_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r1.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.DogHead.Lotto_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r5.<android.location.Location: double getLongitude()>(), org.json, ImmediateBox($d0) in virtualinvoke $r3.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("lat"__ $d0), 
com.DogHead.Lotto_apk, advertisingidClient getadvertisingidInfo, $r5 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r1), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.dokebi.dokebi_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.Fm: android.hardware.Sensor A01>, 
com.dokebi.dokebi_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dokebi.dokebi_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.Fm: android.hardware.SensorEventListener A02>, 
com.dokebi.dokebi_apk, advertisingidClient getadvertisingidInfo, $r2 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r1), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dokebi.dokebi_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dotscreen.tv5mondeplus.mobile_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l2__ $d0__ $d1), 
com.dotscreen.tv5mondeplus.mobile_apk, email, $r30 = virtualinvoke $r30.<com.google.android.gms.auth.api.signin.GoogleSignInOptions$Builder: com.google.android.gms.auth.api.signin.GoogleSignInOptions$Builder requestEmail()>(), com.google.android.gms, JimpleLocalBox(r0) in r0.<com.google.android.gms.auth.api.signin.GoogleSignInOptions$Builder: boolean zad> = 1, 
com.dotscreen.tv5mondeplus.mobile_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l2__ $d0__ $d1), 
com.dotscreen.tv5mondeplus.mobile_apk, email, $r4 = virtualinvoke $r1.<com.google.firebase.auth.FirebaseUser: java.lang.String getEmail()>(), com.google.android.gms, ImmediateBox($r0) in staticinvoke <com.google.android.gms.common.internal.Preconditions: java.lang.String checkNotEmpty(java.lang.String)>($r0), 
com.dotscreen.tv5mondeplus.mobile_apk, email, $r4 = virtualinvoke $r1.<com.google.firebase.auth.FirebaseUser: java.lang.String getEmail()>(), com.google.firebase, ImmediateBox($r4) in $r5 = staticinvoke <com.google.firebase.auth.EmailAuthProvider: com.google.firebase.auth.AuthCredential getCredential(java.lang.String__java.lang.String)>($r4__ $r3), 
com.dreamgame.archery.master_apk, advertisingidClient getadvertisingidInfo, $r4 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r1), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.dreamgame.archery.master_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r1.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.dreamgame.archery.master_apk, android.hardware.SensorManager getDefaultSensor, $r3 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r3) in if $r3 != null goto $r3 = <com.facebook.ads.internal.util.a: android.hardware.Sensor b>, 
com.dreamgame.archery.master_apk, android.hardware.SensorManager getDefaultSensor, $r3 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r3) in if $r3 != null goto $r3 = <com.facebook.ads.internal.util.a: android.hardware.Sensor c>, 
com.dreamgame.bubblemania_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.98: android.hardware.SensorEventListener A02>, 
com.dreamgame.bubblemania_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dreamgame.bubblemania_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r13.<android.location.Location: double getLongitude()>(), org.json, ImmediateBox($d0) in virtualinvoke $r0.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("lat"__ $d0), 
com.dreamgame.bubblemania_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.dreamgame.bubblemania_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.98: android.hardware.Sensor A01>, 
com.droidhen.turbo_apk, advertisingidClient getadvertisingidInfo, $r4 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r3), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.droidhen.turbo_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r1.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
com.dv.adm_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.98: android.hardware.SensorEventListener A02>, 
com.dv.adm_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.98: android.hardware.Sensor A01>, 
