com.github.axet.fbreader,email,$r18 = specialinvoke r0.<org.geometerplus.android.fbreader.network.litres.AutoRegistrationActivity: android.view.View getEmailControl()>()
com.github.axet.fbreader,mac,r4 = virtualinvoke $r3.<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>()
com.github.nisrulz,bluetooth,$r6 = virtualinvoke r2.<android.bluetooth.BluetoothAdapter: java.lang.String getAddress()>()
com.github.nisrulz,phonenumber,$r3 = virtualinvoke $r2.<android.telephony.TelephonyManager: java.lang.String getLine1Number()>()
com.github.nisrulz,phonenumber,r5 = virtualinvoke $r4.<android.telephony.TelephonyManager: java.lang.String getLine1Number()>()
com.github.nisrulz,deviceid,r4 = virtualinvoke $r3.<android.telephony.TelephonyManager: java.lang.String getDeviceId()>()
com.github.nisrulz,account,r5 = virtualinvoke $r4.<android.accounts.AccountManager: android.accounts.Account[] getAccountsByType(java.lang.String)>("com.google")
com.github.nisrulz,location,$d1 = virtualinvoke r12.<android.location.Location: double getLongitude()>()
com.github.nisrulz,location,r10 = virtualinvoke $r6.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("network")
com.github.nisrulz,location,$d2 = virtualinvoke r9.<android.location.Location: double getLatitude()>()
com.github.nisrulz,location,$d0 = virtualinvoke r12.<android.location.Location: double getLatitude()>()
com.github.nisrulz,location,r11 = virtualinvoke $r5.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("gps")
com.github.nisrulz,location,r9 = virtualinvoke $r8.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("network")
com.github.nisrulz,location,r12 = virtualinvoke $r4.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("passive")
com.github.nisrulz,location,$d3 = virtualinvoke r9.<android.location.Location: double getLongitude()>()
com.github.nisrulz,mac,r15 = virtualinvoke $r4.<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>()
com.github.nisrulz,imse,r4 = virtualinvoke $r3.<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>()
com.github.nisrulz,sim,r4 = virtualinvoke $r3.<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>()
com.google.android.gms,location,$d2 = virtualinvoke r2.<android.location.Location: double getLongitude()>()
com.google.android.gms,location,$d0 = virtualinvoke r2.<android.location.Location: double getLatitude()>()
com.google.android.gms,adid,$r4 = virtualinvoke $r2.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>()
com.google.android.gms,adid,r36 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r14)
com.google.android.gms,adid,r2 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r1)
com.google.android.gms,sensor,$r3 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(11)
com.inmobi.monetization,location,r8 = virtualinvoke $r1.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("network")
com.inmobi.monetization,location,virtualinvoke $r7.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>("gps", 0L, 0.0F, r0, $r8)
com.inmobi.monetization,location,$d0 = virtualinvoke r10.<android.location.Location: double getLatitude()>()
