tpl_name,raw_num_node,raw_num_class,raw_num_edge,num_node,num_class,num_edge
com.adjust.sdk,9124,756,13,9124,756,6955
com.adjust.sdk,9369,780,13,9369,780,7389
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4852,398,13,4853,398,2965
com.adjust.sdk,4853,398,13,4854,398,2974
com.adjust.sdk,4853,398,13,4854,398,2974
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,4743,388,13,4745,388,2865
com.adjust.sdk,4745,388,13,4747,388,2888
com.adjust.sdk,4745,388,13,4747,388,2888
com.adjust.sdk,4781,399,13,4783,399,2972
com.adjust.sdk,4781,399,13,4783,399,2972
com.adjust.sdk,4781,399,13,4783,399,2972
com.adjust.sdk,4781,399,13,4783,399,2972
com.adjust.sdk,4781,399,13,4784,399,2976
com.adjust.sdk,4781,399,13,4784,399,2976
com.adjust.sdk,4781,399,13,4784,399,2976
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
com.adjust.sdk,4762,397,13,4766,397,2950
